pcode_ts,pcode_st,name_st,name_ts,candidate_name,party_name,votes
MMR004004,MMR004,Chin,Tedim,U Wan Lina Thang,National Unity Party (NUP),9192
MMR004004,MMR004,Chin,Tedim,Dr. Kham Cindal,Chin National Party,10320
MMR004004,MMR004,Chin,Tedim,U P.S.Cam Do Nan,Chin Progressive Party,2292
MMR004005,MMR004,Chin,Tonzang,U Hau Kam Mann,Union Solidarity And Development Party,6948
MMR004005,MMR004,Chin,Tonzang,U Mang Cin Pau,National Unity Party (NUP),5055
MMR001010,MMR001,Kachin,Bhamo,U Lun Maung,Union Solidarity And Development Party,23883
MMR001010,MMR001,Kachin,Bhamo,U Ko Ko Lay (A) U Poe Aye,Shan Nationalities Democratic Party,7777
MMR001010,MMR001,Kachin,Bhamo,U Chit Nyo,National Unity Party (NUP),17565
MMR001005,MMR001,Kachin,Chipwi,U Zon Taint,Union Solidarity And Development Party,4957
MMR001005,MMR001,Kachin,Chipwi,U Na Bot Taw Kaung,National Unity Party (NUP),3181
MMR001009,MMR001,Kachin,Hpakant,U Maung Maung Aye,Shan Nationalities Democratic Party,5983
MMR001009,MMR001,Kachin,Hpakant,U Ohn Myint,Union Solidarity And Development Party,29426
MMR001009,MMR001,Kachin,Hpakant,Daw Bawk Ja,National Democratic Force,21633
MMR001003,MMR001,Kachin,Injangyang,Daw Dwair Bu,Unity Democracy Party of Kachin State,507
MMR001003,MMR001,Kachin,Injangyang,U In Sin Naw Aung,National Unity Party (NUP),350
MMR001008,MMR001,Kachin,Mogaung,U Si Kan Yan,Union Solidarity And Development Party,3308
MMR001008,MMR001,Kachin,Mogaung,U Chaw Par Wu,National Unity Party (NUP),3177
MMR001006,MMR001,Kachin,Tsawlaw,U Kon Ngar Naw Aung,Union Solidarity And Development Party,2066
MMR001006,MMR001,Kachin,Tsawlaw,U Inn Pon San (A) U Inn Tut Pon San,National Unity Party (NUP),2512
MMR001003,MMR001,Kachin,Injangyang,U Tun Thein (A) U Tun Tun,Union Solidarity And Development Party,7595
MMR001003,MMR001,Kachin,Injangyang,U Aung Than,Shan Nationalities Democratic Party,4593
